id,naam,straat,huisnr,postcode,plaats,lat,lon,soort
v-0028,Iris Mulder,Blikkenburg,55,4385HJ,Vlissingen,51.4640196,3.5702175,krant
v-0029,Bram de Boer,Singel,150a,4382LP,Vlissingen,51.4494889,3.5704447,krant
v-0030,Niels Visser,Brahmslaan,3,4384LP,Vlissingen,51.4658527,3.54346,krant
v-0031,Iris Bakker,Galgewei,42,4384RB,Vlissingen,51.4616816,3.532793,folder
v-0032,Daan Hendriks,Van Dishoeckstraat,144,4381VA,Vlissingen,51.4476974,3.5786031,krant
v-0033,Teun van Leeuwen,Van Dishoeckstraat,42,4381TZ,Vlissingen,51.4472626,3.5786689,folder
v-0034,Teun Kuipers,Wijenburg,63,4385GT,Vlissingen,51.4639628,3.5749808,krant
v-0035,Iris de Bruin,Blikkenburg,69,4385HJ,Vlissingen,51.4636265,3.5700796,krant
v-0036,Ada Visser,Slangenburg,3,4385HT,Vlissingen,51.4625407,3.5722362,krant
v-0037,Niels Dijkstra,Spuistraat,86a,4381HT,Vlissingen,51.443643,3.5723698,folder
v-0038,Ada Jansen,Nico Engelschmanlaan,1,4385KR,Vlissingen,51.4604458,3.5606944,folder
v-0039,Els de Vries,Berlagestraat,8,4383BJ,Vlissingen,51.4563015,3.5625998,folder
v-0040,Pieter Jansen,Galgewei,13,4384RB,Vlissingen,51.4622144,3.5324486,folder
v-0041,Lieke de Vries,Bedrijfsweg,15d,4387PD,Vlissingen,51.4721476,3.5899707,krant
v-0042,Kees de Bruin,Singel,373,4381VK,Vlissingen,51.4497455,3.5797374,folder
v-0043,Ada Brouwer,Calandstraat,2,4382JX,Vlissingen,51.4535478,3.565741,krant
v-0044,Pieter Smits,Hercules Segherslaan,15,4383VG,Vlissingen,51.4591653,3.5707482,krant
v-0045,Lieke de Bruin,Westerzicht,630,4385BW,Vlissingen,51.461615,3.5838782,krant
v-0046,Willem van Leeuwen,Colijnstraat,3,4384EH,Vlissingen,51.4628809,3.5549141,krant
v-0047,Johanna van der Meer,Schuitvaartgracht,65,4382GH,Vlissingen,51.4500088,3.5694605,krant
v-0048,Els Jansen,Bouwen Ewoutstraat,42b,4381PS,Vlissingen,51.4474489,3.5719015,krant
v-0049,Sanne Jansen,Sint Jacobsstraat,11,4381EK,Vlissingen,51.4431574,3.5749236,krant
v-0050,Daan Bakker,Jacob Marislaan,14,4382TA,Vlissingen,51.4542292,3.574364,krant
v-0051,Els Hendriks,Singel,500,4381VP,Vlissingen,51.4488393,3.5841446,krant
v-0052,Roos de Wit,Verlengde Bonedijkestraat,287,4383BC,Vlissingen,51.4556118,3.5628766,krant
v-0053,Iris de Wit,De Savornin Lohmanlaan,7,4384KC,Vlissingen,51.4596697,3.5506086,krant
v-0054,Roos Kuipers,Boulevard Bankert,622,4382AC,Vlissingen,51.4478215,3.5622378,krant
v-0055,Roos Kuipers,Boulevard Bankert,622,4382AC,Vlissingen,51.4478215,3.5622378,folder
v-0056,Bram Smits,Spuistraat,3,4381HN,Vlissingen,51.4424917,3.5727794,krant
v-0057,Jan van Leeuwen,Vredehoflaan,344,4382CJ,Vlissingen,51.4536617,3.5601008,krant
v-0058,Johanna de Wit,Van Doornlaan,23,4386AH,Vlissingen,51.4657829,3.5921771,krant
v-0059,Daan Jansen,De Tuinderij,30,4387AK,Vlissingen,51.4712295,3.5943585,krant
v-0060,Kees Jansen,De Tuinderij,30,4387AK,Vlissingen,51.4712295,3.5943585,folder
v-0061,Kees Jansen,De Tuinderij,30,4387AK,Vlissingen,51.4712295,3.5943585,krant
v-0062,Pieter Brouwer,Martin Luther Kingstraat,38,4384HT,Vlissingen,51.4645904,3.553477,krant
v-0063,Pieter Mulder,Boulevard Bankert,52a,4382AC,Vlissingen,51.4442935,3.5679252,krant
v-0064,Kees de Groot,Singel,229-G13,,Vlissingen,51.450317,3.5781891,krant
v-0065,Jan de Vries,Bloemenlaan,3,4382SB,Vlissingen,51.450663,3.5738007,krant
v-0066,Johanna de Wit,Singel,80,4382LC,Vlissingen,51.4488671,3.5676732,krant
v-0067,Ada van Leeuwen,Westerzicht,285,4385AK,Vlissingen,51.4632172,3.5891807,folder
v-0068,Ada van Leeuwen,Westerzicht,285,4385AK,Vlissingen,51.4632172,3.5891807,krant
v-0069,Kees de Wit,Tulpenlaan,28-G2,,Vlissingen,51.4513096,3.5719832,krant
v-0070,Daan Vos,Dreesstraat,27,4384DA,Vlissingen,51.458397,3.5575698,krant
v-0071,Bram Visser,Rosenburglaan,12,4385JD,Vlissingen,51.4623291,3.5670339,krant
v-0072,Niels Dijkstra,Scheldestraat,86a,4382LZ,Vlissingen,51.4492576,3.5724115,folder
v-0073,Johanna de Wit,Paardenstraat,43,4381AH,Vlissingen,51.442709,3.5811051,krant
v-0074,Iris de Wit,Paardenstraat,43,4381AH,Vlissingen,51.442709,3.5811051,krant
v-0075,Iris de Wit,Paardenstraat,43,4381AH,Vlissingen,51.442709,3.5811051,folder
v-0076,Hanna Kuipers,Jan van de Capellelaan,57,4383VB,Vlissingen,51.4575454,3.5765377,krant
v-0077,Teun de Wit,Peperdijk,171,4381EN,Vlissingen,51.4446601,3.5750158,krant
v-0078,Roos de Wit,Vrouwestraat,51-T,,Vlissingen,51.4442424,3.5755737,krant
v-0079,Teun Visser,Paul Krugerstraat,251,4382MH,Vlissingen,51.4507797,3.5800254,krant
v-0080,Lieke de Bruin,Lindekerspad,4,4386ER,Vlissingen,51.4692421,3.5919252,krant
v-0081,Willem Dijkstra,Hogeweg,65,4382JC,Vlissingen,51.4524584,3.5653915,krant
v-0082,Teun van Dijk,Goeman Borgesiusstraat,61-G9,,Vlissingen,51.4615013,3.5479432,krant
v-0083,Sanne Dekker,Visserijkade,95,4382ZA,Vlissingen,51.4476717,3.5930152,krant
v-0084,Hanna Jansen,Glacisstraat,44c,4381RK,Vlissingen,51.4458311,3.5721231,krant
v-0085,Daan Peters,Bosjeslaan,17-G11,,Vlissingen,51.4504731,3.5724303,krant
v-0086,Niels de Wit,Sint Maartenlaan,4,4383AR,Vlissingen,51.4560089,3.5575652,folder
v-0087,Johanna Vos,Van Hallstraat,11,4384BL,Vlissingen,51.4577755,3.5547569,krant
v-0088,Niels Jansen,Scheldestraat,1-205,4381RP,Vlissingen,51.4465308,3.5743608,krant
v-0089,Anna Jansen,Scheldestraat,1-205,4381RP,Vlissingen,51.4465308,3.5743608,krant
v-0090,Sanne Jansen,Scheldestraat,1-205,4381RP,Vlissingen,51.4465308,3.5743608,krant
v-0091,Sanne Visser,Rommestraat,2,4384DJ,Vlissingen,51.4621797,3.5576612,folder
v-0092,Anna Hendriks,Klipperkade,3,4382ZM,Vlissingen,51.4468747,3.5864591,krant
v-0093,Sanne Hendriks,Klipperkade,3,4382ZM,Vlissingen,51.4468747,3.5864591,krant
v-0094,Willem Post,Papegaaienburg,3,4386DA,Vlissingen,51.4649467,3.5818132,krant
v-0095,Anna Visser,Hercules Segherslaan,1,4383VG,Vlissingen,51.4598566,3.5705114,krant
v-0096,Marijke Mulder,Tobagolaan,8-G4,,Vlissingen,51.4554811,3.5575612,folder
v-0097,Ada Maas,Zonnekers,13,4386EM,Vlissingen,51.4691237,3.5908773,krant
v-0098,Roos van Leeuwen,Vredehoflaan,516,4382CJ,Vlissingen,51.4536191,3.5615125,krant
v-0099,Otto van Leeuwen,Vredehoflaan,516,4382CJ,Vlissingen,51.4536191,3.5615125,krant
v-0100,Iris Brouwer,Salvador Dalístraat,20,4382KC,Vlissingen,51.4544987,3.5662892,krant
v-0101,Carla de Vries,Vredehoflaan,628,4382CK,Vlissingen,51.4540482,3.5599937,krant
v-0102,Carla Visser,De Insulindestraat,46,4381NR,Vlissingen,51.4466459,3.5817262,folder
v-0103,Teun Jansen,Walstraat,120,4381GS,Vlissingen,51.4448254,3.5737034,krant
v-0104,Iris van den Berg,Zuiderbaan,19,4386CK,Vlissingen,51.464912,3.5857935,krant
v-0105,Pieter Hendriks,Ridderspoorlaan,27,4382PH,Vlissingen,51.4517135,3.5709841,krant
v-0106,Iris de Bruin,Offenbachlaan,33,4384MH,Vlissingen,51.4650487,3.5480798,krant
v-0107,Daan Dijkstra,Bakkersgang,21,4381JD,Vlissingen,51.4427967,3.5710908,krant
v-0108,Bram Brouwer,Bonenburg,50,4385HK,Vlissingen,51.4636895,3.5713944,krant
v-0109,Roos Hendriks,Vredehoflaan,776,4382CK,Vlissingen,51.4539455,3.5602294,krant
v-0110,Sem Hendriks,Sint Kruislaan,55,4383AJ,Vlissingen,51.4553273,3.5579027,krant
v-0111,Otto Bakker,Van Houtenplein,1-G1,,Vlissingen,51.4578666,3.5568238,krant
v-0112,Otto de Boer,Kenau Hasselaarstraat,87,4382AH,Vlissingen,51.4466048,3.5638775,folder
v-0113,Willem Dekker,Koudekerkseweg,32,4382EC,Vlissingen,51.4492088,3.565611,krant
v-0114,Femke Hendriks,Van de Spiegelstraat,71-G,,Vlissingen,51.4493468,3.5784549,krant
v-0115,Sem van Leeuwen,Sottegemstraat,102,4382ER,Vlissingen,51.4508806,3.5694499,krant
v-0116,Otto Dekker,Paul Krugerstraat,251a,4382MH,Vlissingen,51.4507847,3.5801218,krant
v-0117,Johanna van der Meer,Westerzicht,500,4385BS,Vlissingen,51.4614866,3.5854162,krant
v-0118,Hanna Kuipers,Boulevard Bankert,334,4382AC,Vlissingen,51.4469379,3.5629146,krant
v-0119,Els Kuipers,Haagland,2,4386GM,Vlissingen,51.4673958,3.5635579,krant
v-0120,Lieke Bos,President Rooseveltlaan,730,4382VX,Vlissingen,51.455321,3.5780053,krant
v-0121,Femke Post,Bloemenlaan,37,4382SB,Vlissingen,51.4517897,3.5728755,krant
v-0122,Femke de Wit,Wagnerlaan,3,4384LJ,Vlissingen,51.4632282,3.5453124,krant
v-0123,Carla Dekker,Jacob van Campenstraat,32,4383BP,Vlissingen,51.4566316,3.5657251,krant
v-0124,Johanna Bos,Papaverlaan,3,4382PM,Vlissingen,51.4523443,3.5711471,krant
v-0125,Pieter de Groot,Hellingbaan,81,4381NN,Vlissingen,51.4449401,3.5742158,krant
v-0126,Hanna de Groot,Hellingbaan,81,4381NN,Vlissingen,51.4449401,3.5742158,folder
v-0127,Iris Vos,Merkenburg,23,4385ET,Vlissingen,51.4613934,3.5743919,krant
v-0128,Iris Vos,Merkenburg,23,4385ET,Vlissingen,51.4613934,3.5743919,folder
v-0129,Roos Brouwer,Korenbloemlaan,24,4382PD,Vlissingen,51.4513299,3.5705066,folder
v-0130,Carla Peters,Anjelierenlaan,99,4382VE,Vlissingen,51.4531885,3.575667,krant
v-0131,Sem Bos,Paul Krugerstraat,311,4382MJ,Vlissingen,51.450224,3.5821772,folder
v-0132,Willem de Wit,Leeghwaterstraat,23,4382JJ,Vlissingen,51.452761,3.5652569,krant
v-0133,Ada Bakker,De Kota Baroestraat,57,4381NX,Vlissingen,51.4497382,3.5799658,krant
v-0134,Lieke van den Berg,Boulevard Evertsen,28,4382AD,Vlissingen,51.449186,3.560664,krant
v-0135,Bram van den Berg,Boulevard Evertsen,28,4382AD,Vlissingen,51.449186,3.560664,folder
v-0136,Hendrik de Vries,Rommestraat,6-G8,,Vlissingen,51.4622646,3.5582005,folder
v-0137,Otto van der Meer,Van der Manderestraat,42,4381VS,Vlissingen,51.4490145,3.5748115,krant
v-0138,Pieter de Bruin,Ferdinand Bollaan,23,4382RB,Vlissingen,51.4538048,3.5714783,krant
v-0139,Pieter de Bruin,Ferdinand Bollaan,23,4382RB,Vlissingen,51.4538048,3.5714783,folder
v-0140,Lieke de Bruin,Van Dishoeckstraat,119,4381TW,Vlissingen,51.4486426,3.5783511,krant
v-0141,Roos Dijkstra,Breestraat,7,4381HZ,Vlissingen,51.4421398,3.5717213,krant
v-0142,Teun Visser,Glacisstraat,80,4381RL,Vlissingen,51.4463316,3.5733552,krant
v-0143,Carla Hendriks,Vrijdomweg,2,4382BB,Vlissingen,51.4518308,3.5638517,folder
v-0144,Els Smits,Molenstraat,48,4381HX,Vlissingen,51.4427632,3.57235,krant
v-0145,Hendrik Hendriks,Stadhuisplein,22-K109,4382LJ,Vlissingen,51.4480615,3.5682186,krant
v-0146,Teun Bos,Van Dishoeckstraat,594,4382XW,Vlissingen,51.4515735,3.5799619,krant
v-0147,Pieter Bos,Van Dishoeckstraat,594,4382XW,Vlissingen,51.4515735,3.5799619,folder
v-0148,Pieter Kuipers,De Kempenaerstraat,27,4384KA,Vlissingen,51.4605439,3.5494264,krant
v-0149,Gijs van Leeuwen,Van Dishoeckstraat,95,4381TW,Vlissingen,51.4486391,3.5784083,folder
v-0150,Daan Brouwer,Nieuwe Kruidmolenweg,17,4382WB,Vlissingen,51.4524374,3.6065958,krant
v-0151,Lieke van Dijk,Heideveld,18,4386GP,Vlissingen,51.468343,3.5620082,krant
v-0152,Bram Dijkstra,Clijverstraat,7,4381PT,Vlissingen,51.4468978,3.5712601,krant
v-0153,Bram Smits,Paauwenburgweg,14,4384JE,Vlissingen,51.4626345,3.5510706,krant
v-0154,Roos Post,Scheldestraat,34,4381RT,Vlissingen,51.4475571,3.5738366,krant
v-0155,Kees Post,Scheldestraat,34,4381RT,Vlissingen,51.4475571,3.5738366,krant
v-0156,Gijs Vos,Nieuwstraat,230-GC,,Vlissingen,51.4427268,3.5780433,krant
v-0157,Carla Bos,Leeghwaterstraat,86,4382JP,Vlissingen,51.4537492,3.5647477,folder
v-0158,Lieke Hendriks,Meidoornlaan,14,4382TK,Vlissingen,51.4523475,3.5772983,folder
v-0159,Lieke Hendriks,Meidoornlaan,14,4382TK,Vlissingen,51.4523475,3.5772983,krant
v-0160,Teun Kuipers,Gerbrandystraat,92,4384NK,Vlissingen,51.4629941,3.5591809,folder
v-0161,Sem Kuipers,Gerbrandystraat,92,4384NK,Vlissingen,51.4629941,3.5591809,krant
v-0162,Anna Smits,Van Dishoeckstraat,59,4381TV,Vlissingen,51.44793,3.5782659,krant
v-0163,Lieke Dekker,Bosjeslaan,66,4382PV,Vlissingen,51.4527934,3.5719041,krant
v-0164,Sanne Smits,De Meesterstraat,25,4384HE,Vlissingen,51.4619053,3.5516998,krant
v-0165,Kees Mulder,Sabalaan,8,4383AN,Vlissingen,51.4563367,3.5569538,krant
v-0166,Femke Jansen,Troelstraweg,357,4384GS,Vlissingen,51.4632611,3.5562895,krant
v-0167,Pieter Jansen,Troelstraweg,357,4384GS,Vlissingen,51.4632611,3.5562895,krant
v-0168,Els Bakker,Gerbrandystraat,156,4384NM,Vlissingen,51.4655298,3.5583121,krant
v-0169,Sem Mulder,Albert Cuyplaan,4,4383XG,Vlissingen,51.455783,3.5788198,folder
v-0170,Femke de Vries,Verkuijl Quakkelaarstraat,50,4381TP,Vlissingen,51.4476658,3.5709276,krant
v-0171,Femke Dijkstra,Schaepmanstraat,143,4384CX,Vlissingen,51.4622326,3.5555718,krant
v-0172,Anna de Groot,Hobeinstraat,57,4381PB,Vlissingen,51.4467627,3.5703958,krant
v-0173,Willem Vos,Westerzicht,483,4385BH,Vlissingen,51.4605907,3.5883334,krant
v-0174,Lieke van Leeuwen,Burgemeester van Woelderenlaan,1-08,4382CL,Vlissingen,51.4514246,3.5584306,krant
v-0175,Pieter van Leeuwen,Burgemeester van Woelderenlaan,1-08,4382CL,Vlissingen,51.4514246,3.5584306,krant
v-0176,Sem de Wit,Clijverstraat,26,4381PW,Vlissingen,51.4470381,3.5722024,folder
v-0177,Anna de Wit,Clijverstraat,26,4381PW,Vlissingen,51.4470381,3.5722024,krant
v-0178,Lieke Smits,Aagje Dekenstraat,12d,4381RZ,Vlissingen,51.4454982,3.5734045,krant
v-0179,Iris van Leeuwen,Van Beethovenlaan,12,4384KN,Vlissingen,51.4595445,3.5459349,krant
v-0180,Hanna Bakker,Duijvendrechtstraat,22,4382EV,Vlissingen,51.4499459,3.5660711,krant
v-0181,Ada Smits,Grote Markt,27c,4381JB,Vlissingen,51.4417764,3.5716419,krant
v-0182,Carla Maas,De Tuinderij,22,4387AK,Vlissingen,51.4708534,3.5942402,krant
v-0183,Carla Maas,De Tuinderij,22,4387AK,Vlissingen,51.4708534,3.5942402,folder
v-0184,Carla de Groot,Irislaan,189,4383VT,Vlissingen,51.4567296,3.5770239,krant
v-0185,Willem Vos,Hellingbaan,333,4381NN,Vlissingen,51.4458748,3.5748421,krant
v-0186,Gijs de Groot,Crocuslaan,4,4382VA,Vlissingen,51.4515398,3.5740385,krant
v-0187,Ada van der Meer,Verdilaan,8,4384LE,Vlissingen,51.4632789,3.545861,krant
v-0188,Hanna van der Meer,Verdilaan,8,4384LE,Vlissingen,51.4632789,3.545861,krant
v-0189,Kees Visser,Kommedijk,2-G18,,Vlissingen,51.4442998,3.5693635,folder
v-0190,Niels Smits,Paauwenburgweg,19,4384JA,Vlissingen,51.4590577,3.5510851,krant
v-0191,Lieke de Boer,Govert Flincklaan,7,4383WB,Vlissingen,51.4586905,3.5696915,krant
v-0192,Femke de Bruin,Voorstraat,18-G9,,Vlissingen,51.4676996,3.592772,folder
v-0193,Carla Peters,Kanariesprenk,35,4386DE,Vlissingen,51.4666189,3.5766712,folder
v-0194,Carla Peters,Kanariesprenk,35,4386DE,Vlissingen,51.4666189,3.5766712,krant
v-0195,Kees van der Meer,Kenau Hasselaarstraat,151,4382AH,Vlissingen,51.4468991,3.5632767,krant
v-0196,Hendrik Peters,Marnixplein,21,4386AA,Vlissingen,51.4644633,3.5916834,krant
v-0197,Roos Peters,Marnixplein,21,4386AA,Vlissingen,51.4644633,3.5916834,krant
v-0198,Roos de Vries,Anjelierenlaan,157,4382VG,Vlissingen,51.4529122,3.5777937,krant
v-0199,Hanna Kuipers,Gasthuisstraat,20-G31,,Vlissingen,51.4418528,3.5703264,folder
v-0200,Otto Kuipers,Gasthuisstraat,20-G31,,Vlissingen,51.4418528,3.5703264,folder
v-0201,Otto Bakker,Papegaaienburg,38,4386DA,Vlissingen,51.4656081,3.5827384,krant
v-0202,Daan Bakker,Papegaaienburg,38,4386DA,Vlissingen,51.4656081,3.5827384,krant
v-0203,Daan Bakker,Papegaaienburg,38,4386DA,Vlissingen,51.4656081,3.5827384,folder
v-0204,Johanna Kuipers,Westerzicht,661,4385CC,Vlissingen,51.4600121,3.5859551,krant
v-0205,Carla de Vries,Mesdaglaan,23,4382TB,Vlissingen,51.4545565,3.5750499,krant
v-0206,Kees de Vries,Mesdaglaan,23,4382TB,Vlissingen,51.4545565,3.5750499,krant
v-0207,Roos Dekker,Pablo Picassoplein,165,4382KB,Vlissingen,51.4537869,3.5675424,krant
v-0208,Roos Bos,Steve Bikostraat,7,4384HS,Vlissingen,51.4655304,3.5545739,krant
v-0209,Niels Dijkstra,Nieuw Bonedijkelaan,111,4382HD,Vlissingen,51.4520655,3.5675672,krant
v-0210,Kees van Dijk,Hellingbaan,265,4381NN,Vlissingen,51.4454732,3.5747238,krant
v-0211,Lieke van Dijk,Hellingbaan,265,4381NN,Vlissingen,51.4454732,3.5747238,krant
v-0212,Niels de Vries,De Visserstraat,11,4384JS,Vlissingen,51.4612935,3.5499705,krant
v-0213,Kees van der Meer,Doctor Ottestraat,103h,4382LV,Vlissingen,51.4493668,3.570675,krant
v-0214,Hendrik de Vries,Dokter Gallandatstraat,1-01,4382LD,Vlissingen,51.4480391,3.5671731,krant
v-0215,Niels de Groot,Palingstraat,66,4381AG,Vlissingen,51.4429464,3.5808832,krant
v-0216,Gijs Visser,Beursstraat,20,4381CD,Vlissingen,51.4410946,3.5737514,krant
v-0217,Femke Peters,Westerzicht,418,4385BN,Vlissingen,51.4612675,3.5868462,krant
v-0218,Ada Mulder,Josine Reulinglaan,20,4385KX,Vlissingen,51.4594556,3.5623398,krant
v-0219,Gijs van Leeuwen,Pablo Picassoplein,101,4382KB,Vlissingen,51.4540145,3.5668543,krant
v-0220,Gijs van Leeuwen,Pablo Picassoplein,101,4382KB,Vlissingen,51.4540145,3.5668543,folder
v-0221,Jan Bos,Anjelierenlaan,106,4382VH,Vlissingen,51.4529792,3.5758378,krant
v-0222,Kees Vos,Wilhelminastraat,12a,4381BP,Vlissingen,51.4429496,3.5777655,folder
v-0223,Iris van den Berg,Assumburg,7,4385EG,Vlissingen,51.4631243,3.5684393,krant
v-0224,Niels Hendriks,Boulevard Bankert,676,4382AC,Vlissingen,51.4479234,3.5620671,krant
v-0225,Marijke Kuipers,Frans Halslaan,4,4382RG,Vlissingen,51.4533655,3.5703434,krant
v-0226,Johanna van Leeuwen,Schubertlaan,13,4384LL,Vlissingen,51.4628739,3.5420123,krant
v-0227,Els van den Berg,Bizetlaan,18,4384KR,Vlissingen,51.4609304,3.5442671,krant
v-0228,Els van den Berg,Bizetlaan,18,4384KR,Vlissingen,51.4609304,3.5442671,folder
v-0229,Niels Bos,De Kungsholmstraat,61,4381NZ,Vlissingen,51.4486456,3.5793537,krant
v-0230,Sem Bakker,Van Dishoeckstraat,205,4382XR,Vlissingen,51.4508088,3.5790613,krant
v-0231,Marijke Smits,Van Hogendorpweg,68,4384HA,Vlissingen,51.4633091,3.5543278,krant
v-0232,Anna van der Meer,Van Hoorn van Burghstraat,27,4381ST,Vlissingen,51.4483327,3.5764031,krant
v-0233,Roos Bos,Aagje Dekenstraat,5,4381RM,Vlissingen,51.4456038,3.5723446,krant
v-0234,Roos Bos,Aagje Dekenstraat,5,4381RM,Vlissingen,51.4456038,3.5723446,folder
v-0235,Ada Maas,Sint Eustatiuslaan,18-G2,,Vlissingen,51.4550137,3.5586014,krant
v-0236,Willem de Groot,Bloemenlaan,188,4383TD,Vlissingen,51.456215,3.5737167,krant
v-0237,Pieter Bos,H. Roland Holstlaan,1,4385KJ,Vlissingen,51.4635449,3.56538,krant
v-0238,Anna Bos,H. Roland Holstlaan,1,4385KJ,Vlissingen,51.4635449,3.56538,krant
v-0239,Ada Kuipers,Vredehoflaan,91,4383AB,Vlissingen,51.4547147,3.5590745,krant
v-0240,Gijs Mulder,De Stoppelaarstraat,1-G5,,Vlissingen,51.4660901,3.5905136,folder
v-0241,Johanna Bos,Vredehoflaan,280,4382CJ,Vlissingen,51.4536363,3.5599805,krant
v-0242,Anna van Dijk,Rosenburglaan,283,4385KE,Vlissingen,51.4634005,3.5640922,folder
v-0243,Hendrik Visser,Badhuisstraat,19,4381LM,Vlissingen,51.4455984,3.5711981,krant
v-0244,Pieter de Groot,Westerhavenweg,6,4382NM,Vlissingen,51.4496082,3.5958454,krant
v-0245,Bram van Leeuwen,Merkenburg,9,4385ET,Vlissingen,51.4617157,3.5745309,folder
v-0246,Femke van Leeuwen,Merkenburg,9,4385ET,Vlissingen,51.4617157,3.5745309,krant
v-0247,Femke Kuipers,Verkuijl Quakkelaarstraat,233,4381TN,Vlissingen,51.4487716,3.5756701,folder
v-0248,Roos Kuipers,Verkuijl Quakkelaarstraat,233,4381TN,Vlissingen,51.4487716,3.5756701,krant
v-0249,Willem Kuipers,Verkuijl Quakkelaarstraat,233,4381TN,Vlissingen,51.4487716,3.5756701,krant
v-0250,Otto Kuipers,Zuiderbaan,32,4386CG,Vlissingen,51.4658317,3.5849698,krant
v-0251,Ada Kuipers,Zuiderbaan,32,4386CG,Vlissingen,51.4658317,3.5849698,krant
v-0252,Johanna van den Berg,Westerzicht,260,4385AW,Vlissingen,51.4626619,3.5896086,krant
v-0253,Hendrik Dijkstra,Branderijstraat,3,4381HK,Vlissingen,51.4426373,3.5748673,krant
v-0254,Carla van den Berg,De Kungsholmstraat,69,4381NZ,Vlissingen,51.4486341,3.5798289,krant
v-0255,Sem van der Meer,Hogeweg,185,4382RH,Vlissingen,51.45407,3.5697302,krant
v-0256,Pieter van der Meer,Sint Eustatiuslaan,11,4383AE,Vlissingen,51.4552025,3.5590518,krant
v-0257,Ada van der Meer,Sint Eustatiuslaan,11,4383AE,Vlissingen,51.4552025,3.5590518,folder
v-0258,Teun van Dijk,Gildeweg,17a,4383NH,Vlissingen,51.4561337,3.5845785,krant
v-0259,Ada de Bruin,Stroomweg,22,4382WX,Vlissingen,51.4569829,3.5908859,folder
v-0260,Marijke Dijkstra,Wijenburg,52,4385GR,Vlissingen,51.4646249,3.5753677,krant
v-0261,Roos de Boer,Zeilmaker,46,4381KX,Vlissingen,51.4458354,3.5816505,krant
v-0262,Els de Bruin,Rosenburglaan,219,4385KL,Vlissingen,51.4605073,3.5641925,krant
v-0263,Els de Bruin,Rosenburglaan,219,4385KL,Vlissingen,51.4605073,3.5641925,folder
v-0264,Jan de Wit,Gildeweg,19e,4383NH,Vlissingen,51.4565086,3.5847168,krant
v-0265,Willem de Wit,Gildeweg,19e,4383NH,Vlissingen,51.4565086,3.5847168,krant
v-0266,Daan Maas,Van Raaltestraat,59,4384GC,Vlissingen,51.4637286,3.557907,krant
v-0267,Otto de Bruin,Coosje Buskenstraat,188,4381LJ,Vlissingen,51.4448828,3.5716867,krant
